4880,534.361
4890,533.302
4900,532.245
4910,531.187
4920,530.131
4930,529.075
4940,528.020
4950,526.966
4960,525.913
4970,524.860
4980,523.809
4990,522.758
5000,521.707
5010,520.658
5020,519.609
5030,518.561
5040,517.514
5050,516.468
5060,515.422
5070,514.377
5080,513.333
5090,512.290
5100,511.247
5110,510.205
5120,509.164
5130,508.124
5140,507.085
5150,506.046
5160,505.008
5170,503.971
5180,502.934
5190,501.899
5200,500.864
5210,499.830
5220,498.796
5230,497.764
5240,496.732
5250,495.701
5260,494.671
5270,493.641
5280,492.612
5290,491.584
5300,490.557
5310,489.531
5320,488.505
5330,487.480
5340,486.456
5350,485.433
5360,484.410
5370,483.388
5380,482.367
5390,481.347
5400,480.328
5410,479.309
5420,478.291
5430,477.274
5440,476.257
5450,475.242
5460,474.227
5470,473.212
5480,472.199
5490,471.187
5500,470.175
5510,469.164
5520,468.153
5530,467.144
5540,466.135
5550,465.127
5560,464.120
5570,463.113
5580,462.108
5590,461.103
5600,460.099
5610,459.095
5620,458.093
5630,457.091
5640,456.090
5650,455.090
5660,454.090
5670,453.091
5680,452.093
5690,451.096
5700,450.100
5710,449.104
5720,448.109
5730,447.115
5740,446.122
5750,445.129
5760,444.137
5770,443.146
5780,442.156
5790,441.166
5800,440.178
5810,439.190
5820,438.202
5830,437.216
5840,436.230
5850,435.245
5860,434.261
5870,433.278
5880,432.295
5890,431.313
5900,430.332
5910,429.352
5920,428.372
5930,427.394
5940,426.416
5950,425.438
5960,424.462
5970,423.486
5980,422.511
5990,421.537
6000,420.564
6010,419.591
6020,418.619
6030,417.648
6040,416.678
6050,415.708
6060,414.740
6070,413.772
6080,412.804
6090,411.838
6100,410.872
6110,409.907
6120,408.943
6130,407.980
6140,407.017
6150,406.055
6160,405.094
6170,404.134
6180,403.174
6190,402.215
6200,401.257
6210,400.300
6220,399.344
6230,398.388
6240,397.433
6250,396.479
6260,395.525
6270,394.573
6280,393.621
6290,392.670
6300,391.720
6310,390.772
6320,389.824
6330,388.876
6340,387.930
6350,386.984
6360,386.039
6370,385.095
6380,384.151
6390,383.208
6400,382.266
6410,381.325
6420,380.385
6430,379.445
6440,378.506
6450,377.568
